id	misspelling	gold	suggestions	suggestions_withRank
21211	schok	Schock	[schon, schob, schor, schoß]	{1.0=[schon, schob, schor, schoß]}
21212	gekrigt	gekriegt	[gekriegt, gekreist, gekeift, geriet, gekniet, gekramt, gefragt, geneigt, geregt, gekräht, geprägt, geklagt, gezeigt]	{1.0=[gekriegt], 2.0=[gekreist, gekeift, geriet, gekniet, gekramt, gefragt, geneigt, geregt, gekräht, geprägt, geklagt, gezeigt]}
21213	passiren	passieren	[passieren, passen, massigen, massiven, passten, passiert, passierten, massieren]	{1.0=[passieren], 2.0=[passen, massigen, massiven, passten, passiert, passierten, massieren]}
21214	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
21215	kaput	kaputt	[kaut, kaputt, Kaputt]	{1.0=[kaut, kaputt], 1.5=[Kaputt]}
21216	mall	mal	[all, fall, maul, mal, male, malt]	{1.0=[all, fall, maul, mal, male, malt]}
21217	pasieren	passieren	[parieren, passieren, Papieren]	{1.0=[parieren, passieren], 1.5=[Papieren]}
21218	den	dein	[den, Den, der, denk, gen, wen, des, Öden, öden, dein, dem, denn]	{0.0=[den], 0.5=[Den], 1.0=[der, denk, gen, wen, des, Öden, öden, dein, dem, denn]}
21219	kapute	kaputte	[kaute, kaputte, kaputt]	{1.0=[kaute, kaputte, kaputt]}
21220	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
21221	danit	damit	[dankt, damit, Damit]	{1.0=[dankt, damit], 1.5=[Damit]}
21222	lies	ließ	[lies, Lies, leis, lieh, ließ, wies, lieb, mies, liest, blies, dies, lief, lieg, fies]	{0.0=[lies], 0.5=[Lies], 1.0=[leis, lieh, ließ, wies, lieb, mies, liest, blies, dies, lief, lieg, fies]}
21223	dmait	damit	[damit, Damit, matt, mit, malt]	{1.0=[damit], 1.5=[Damit], 2.0=[matt, mit, malt]}
21224	knalte	knallte	[knalle, kalte, knallte]	{1.0=[knalle, kalte, knallte]}
21225	Glasschärben	Glasscherben	[Glasscherben, Glasscherbe, Glasscheiben]	{1.0=[Glasscherben], 2.0=[Glasscherbe, Glasscheiben]}
21226	erschoken	erschrocken	[erschossen, verschonen, erschraken, erschrocken, erschollen, verschoben, erschien]	{2.0=[erschossen, verschonen, erschraken, erschrocken, erschollen, verschoben, erschien]}
21227	Öfnete	öffnete	[Öffnete, öffnete, Öffneten, knete, Öffnet]	{1.0=[Öffnete], 1.5=[öffnete], 2.0=[Öffneten, knete, Öffnet]}
21228	öfnete	öffnete	[öffnete, Öffnete, öffnet, knete, öffneten]	{1.0=[öffnete], 1.5=[Öffnete], 2.0=[öffnet, knete, öffneten]}
21229	wikelte	wickelte	[wickelte, wedelte, zielte, wackelte, wiegte, wimmelte, witzelte, wickelt, wirbelte, wickelten, wickele, pinkelte, hielte, winselte, wuselte]	{1.0=[wickelte], 2.0=[wedelte, zielte, wackelte, wiegte, wimmelte, witzelte, wickelt, wirbelte, wickelten, wickele, pinkelte, hielte, winselte, wuselte]}
21230	minni	mini	[minus, rinne, rinnt, innig, inne]	{2.0=[minus, rinne, rinnt, innig, inne]}
21231	hagte	hakte	[jagte, halte, hakte, sagte, haute, hatte, haste, harte, hegte, wagte, ragte, nagte, haßte]	{1.0=[jagte, halte, hakte, sagte, haute, hatte, haste, harte, hegte, wagte, ragte, nagte, haßte]}
21232	minni	mini	[minus, rinne, rinnt, innig, inne]	{2.0=[minus, rinne, rinnt, innig, inne]}
21233	für	fuhr	[für, Für, füg, führ, fürs, tür]	{0.0=[für], 0.5=[Für], 1.0=[füg, führ, fürs, tür]}
21234	minni	mini	[minus, rinne, rinnt, innig, inne]	{2.0=[minus, rinne, rinnt, innig, inne]}
21235	wakelte	wackelte	[wackelte, Wackelte, radelte, wedelte, wallte, watete, nagelte, waberte, tadelte, wackelten, wackelt, wuselte, hagelte, wickelte]	{1.0=[wackelte], 1.5=[Wackelte], 2.0=[radelte, wedelte, wallte, watete, nagelte, waberte, tadelte, wackelten, wackelt, wuselte, hagelte, wickelte]}
21236	ries	riss	[rieb, riss, riet, wies, mies, lies, dies, rief, fies]	{1.0=[rieb, riss, riet, wies, mies, lies, dies, rief, fies]}
21237	stürtze	stürze	[stütze, stürze, stürzte]	{1.0=[stütze, stürze, stürzte]}
21238	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
21239	Befor	Bevor	[Bevor, bevor, Beton, Besorg]	{1.0=[Bevor], 1.5=[bevor], 2.0=[Beton, Besorg]}
21240	fieng	fing	[fing, Fing, fiep, diene, fiel, fiept, hing, fein, ging, feine, lieg, fixen, feig, dient, fiele, flieg, find, fiese, sing, fang, fies, eng]	{1.0=[fing], 1.5=[Fing], 2.0=[fiep, diene, fiel, fiept, hing, fein, ging, feine, lieg, fixen, feig, dient, fiele, flieg, find, fiese, sing, fang, fies, eng]}
21241	werenddessen	währenddessen	[währenddessen, Währenddessen, Abendessen]	{2.0=[währenddessen], 2.5=[Währenddessen], 4.5=[Abendessen]}
21242	Kurtz	Kurz	[Kurz, kurz, Kurve, Gurt, Karte, Kurze, Kratz, Klotz, Kurs, Gurte, Kurse, Putz, Katz]	{1.0=[Kurz], 1.5=[kurz], 2.0=[Kurve, Gurt, Karte, Kurze, Kratz, Klotz, Kurs, Gurte, Kurse, Putz, Katz]}
21243	saußte	sauste	[sauste, saugte, kaute, sauget, staunte, sauge, sagte, saust, hauste, laute, taugte, taufte, jaulte, mußte, maulte, baute, satte, saugt, saure, säumte, faulte, haßte, spute, sackte, sachte, paßte, raufte, sausten, saugten, haute, raunte, sanfte, sandte, spurte, wußte, faßte, spukte, raubte, spaßte, sause, kaufte]	{1.0=[sauste, saugte], 2.0=[kaute, sauget, staunte, sauge, sagte, saust, hauste, laute, taugte, taufte, jaulte, mußte, maulte, baute, satte, saugt, saure, säumte, faulte, haßte, spute, sackte, sachte, paßte, raufte, sausten, saugten, haute, raunte, sanfte, sandte, spurte, wußte, faßte, spukte, raubte, spaßte, sause, kaufte]}
21244	hienunter	hinunter	[hinunter, Hinunter, herunter]	{1.0=[hinunter], 1.5=[Hinunter], 2.0=[herunter]}
21245	Kurtz	Kurz	[Kurz, kurz, Kurve, Gurt, Karte, Kurze, Kratz, Klotz, Kurs, Gurte, Kurse, Putz, Katz]	{1.0=[Kurz], 1.5=[kurz], 2.0=[Kurve, Gurt, Karte, Kurze, Kratz, Klotz, Kurs, Gurte, Kurse, Putz, Katz]}
21246	lienks	links	[links, Links, Aliens, lenk, linke, lenkst, lies, liebes, linkes, lenke, lenkt]	{1.0=[links], 1.5=[Links], 2.0=[Aliens, lenk, linke, lenkst, lies, liebes, linkes, lenke, lenkt]}
21247	kurtzer	kurzer	[kurzer, Kurzer, kurzem, kurzen, kurze, kurzes, kürzer]	{1.0=[kurzer], 1.5=[Kurzer], 2.0=[kurzem, kurzen, kurze, kurzes, kürzer]}
21248	kapput	kaputt	[klappt, tappst, kippt, kaut, tappt, kaputt, kippst]	{2.0=[klappt, tappst, kippt, kaut, tappt, kaputt, kippst]}
21249	bekomt	bekommt	[bekommt, bekomm, Bekommt]	{1.0=[bekommt, bekomm], 1.5=[Bekommt]}
21250	zurük	zurück	[zurück, Zurück, zur, zuck]	{1.0=[zurück], 1.5=[Zurück], 2.0=[zur, zuck]}
21251	öfneten	öffneten	[öffneten, Öffneten, öffnete, kneten]	{1.0=[öffneten], 1.5=[Öffneten], 2.0=[öffnete, kneten]}
21252	wierft	wirft	[wirft, werft, wirf, wiegst, viert, wert, wirkt, wirfst, warft, wiegt, werfe, wirst]	{1.0=[wirft, werft], 2.0=[wirf, wiegst, viert, wert, wirkt, wirfst, warft, wiegt, werfe, wirst]}
21253	bant	Band	[baut, bat, bang, bunt, bannt, band, bahnt]	{1.0=[baut, bat, bang, bunt, bannt, band, bahnt]}
21254	Fensterschanire	Fensterscharniere	[Fensterscheibe, Fensterscheiben, unterschreibe, Messerscharfe, Fenstersims, Fensterbänke, Fensterbank]	{3.0=[Fensterscheibe], 4.0=[Fensterscheiben], 6.0=[unterschreibe, Messerscharfe, Fenstersims, Fensterbänke, Fensterbank]}
21255	Sielbahn	Seilbahn	[Vielzahl, Eisenbahn, Siebzehn, Siebten, Sieben, Silbern, Silben]	{3.0=[Vielzahl, Eisenbahn, Siebzehn, Siebten, Sieben, Silbern, Silben]}
21256	bant	Band	[baut, bat, bang, bunt, bannt, band, bahnt]	{1.0=[baut, bat, bang, bunt, bannt, band, bahnt]}
21257	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
21258	un	und	[in, Nun, nun, um, und, uns, Tun, tun, an]	{1.0=[in, Nun, nun, um, und, uns, Tun, tun, an]}
21259	Fon	von	[Ton, Fan, Von]	{1.0=[Ton, Fan, Von]}
21260	schaniere	Scharniere	[Scharniere, schiere, schwangere, schniefe, schlankere, schmiere, schönere]	{1.5=[Scharniere], 2.0=[schiere, schwangere, schniefe, schlankere, schmiere, schönere]}
21261	Malinelli	Matinelli	[Lineal, Lineale, Lineals, Libelle]	{4.5=[Lineal, Lineale, Lineals, Libelle]}
21262	Beite	Beide	[Beste, Breite, Beete, Beute, Bette, Reite, Weite, Beide, Seite, Beine, Beile]	{1.0=[Beste, Breite, Beete, Beute, Bette, Reite, Weite, Beide, Seite, Beine, Beile]}
21263	rifen	riefen	[reifen, rufen, riefen]	{1.0=[reifen, rufen, riefen]}
21264	kaPut	kaputt	[kaut, kaputt, kaute, laut, haut, klaut, kalt, kamt, baut, kaust, kaue, kauf, kauft, Kaputt, kaum, kau]	{1.0=[kaut], 1.5=[kaputt], 2.0=[kaute, laut, haut, klaut, kalt, kamt, baut, kaust, kaue, kauf, kauft, Kaputt, kaum, kau]}
21265	den	denn	[den, Den, der, denk, gen, wen, des, Öden, öden, dein, dem, denn]	{0.0=[den], 0.5=[Den], 1.0=[der, denk, gen, wen, des, Öden, öden, dein, dem, denn]}
21266	jezt	jetzt	[jetzt, Jetzt, gebt, petzt, jene, fegt, nett, seit, hext, jede, weit, fest, fett, legt, jagt, regt, setzt, geht, hegt, eßt, beet, just, welt, duzt, reizt, wert, lest, seht, heut, setz, weht, zeit, heizt, hetz, letzt, hetzt, lebt, bebt, je, hebt]	{1.0=[jetzt], 1.5=[Jetzt], 2.0=[gebt, petzt, jene, fegt, nett, seit, hext, jede, weit, fest, fett, legt, jagt, regt, setzt, geht, hegt, eßt, beet, just, welt, duzt, reizt, wert, lest, seht, heut, setz, weht, zeit, heizt, hetz, letzt, hetzt, lebt, bebt, je, hebt]}
21267	Fogel	Vogel	[Vogel, Bügel, Vögel, Zügel, Igel, Nägel, Folge, Formel, Folgen, Folget, Kugel, Bogen, Engel, Segel, Foul, Flügel, Nagel, Angel, Wogen, Regel, Fiel, Hügel, Hagel, Zogen, Vogels, Model, Hotel, Woge]	{1.0=[Vogel], 2.0=[Bügel, Vögel, Zügel, Igel, Nägel, Folge, Formel, Folgen, Folget, Kugel, Bogen, Engel, Segel, Foul, Flügel, Nagel, Angel, Wogen, Regel, Fiel, Hügel, Hagel, Zogen, Vogels, Model, Hotel, Woge]}
21268	Twiti	Tweety	[Tritt, Witz, tritt]	{2.0=[Tritt], 2.5=[Witz, tritt]}
21269	mer	mehr	[der, mehr, merk, her, wer, mir, per, er]	{1.0=[der, mehr, merk, her, wer, mir, per, er]}
21270	leit	leid	[leite, leis, legt, leid, lest, seit, lebt, leih, leiht, weit, zeit]	{1.0=[leite, leis, legt, leid, lest, seit, lebt, leih, leiht, weit, zeit]}
21271	rrifen	riefen	[reifen, Reifen, reife, Greifen, reizen, griffen, triefen, träfen, reinen, reimen, trafen, greifen, prüfen, reiten, rupfen, reisen, rufen, reifer, raffen, keifen, reifes, reißen, reiften, reiben, riefen, raufen]	{1.0=[reifen], 1.5=[Reifen], 2.0=[reife, Greifen, reizen, griffen, triefen, träfen, reinen, reimen, trafen, greifen, prüfen, reiten, rupfen, reisen, rufen, reifer, raffen, keifen, reifes, reißen, reiften, reiben, riefen, raufen]}
21272	wider	wieder	[wider, wieder, wilder, weder]	{0.0=[wider], 1.0=[wieder, wilder, weder]}
21273	nich	nicht	[nich, wich, mich, dich, noch, nach, nicht, sich, ich]	{0.0=[nich], 1.0=[wich, mich, dich, noch, nach, nicht, sich, ich]}
21274	egstra	extra	[extra, Extra, regst, engsten, gestern, engster, engstem, essbar, legst, gestört, Legst, erste, etwa, geste, engste, esst, erst, ersten, erstmal, erstem, eisern, fegst, erstes, erstarb, eintraf, erster, eintrat, gestraft]	{2.0=[extra], 2.5=[Extra], 3.0=[regst, engsten, gestern, engster, engstem, essbar, legst, gestört, Legst, erste, etwa, geste, engste, esst, erst, ersten, erstmal, erstem, eisern, fegst, erstes, erstarb, eintraf, erster, eintrat, gestraft]}
21275	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
21276	mus	muss	[muß, ums, muss, aus]	{1.0=[muß, ums, muss, aus]}
21277	spaschwein	Sparschwein	[Sparschwein, Sparschweine, Sparschweinen, Schwein]	{1.5=[Sparschwein], 2.5=[Sparschweine], 3.5=[Sparschweinen, Schwein]}
21278	Fenzter	Fenster	[Fenster, Fensters, Fünfter, Fester, Fenstern, Letzter]	{1.0=[Fenster], 2.0=[Fensters, Fünfter, Fester, Fenstern, Letzter]}
21279	Konddel	Gondel	[Kordel, Konntet, Kordeln, Kinde, Bündel, Konnten, Koppel, Knäuel, Paddel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Model, Konten, Mandel, Konnte, Windel]	{2.0=[Kordel], 3.0=[Konntet, Kordeln, Kinde, Bündel, Konnten, Koppel, Knäuel, Paddel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Model, Konten, Mandel, Konnte, Windel]}
21280	hatt	hat	[halt, hakt, matt, haut, hast, hat, hart, satt, habt, hatte, hätt, haßt]	{1.0=[halt, hakt, matt, haut, hast, hat, hart, satt, habt, hatte, hätt, haßt]}
21281	Konddel	Gondel	[Kordel, Konntet, Kordeln, Kinde, Bündel, Konnten, Koppel, Knäuel, Paddel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Model, Konten, Mandel, Konnte, Windel]	{2.0=[Kordel], 3.0=[Konntet, Kordeln, Kinde, Bündel, Konnten, Koppel, Knäuel, Paddel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Model, Konten, Mandel, Konnte, Windel]}
21282	drann	dran	[dann, dran, drang, rann]	{1.0=[dann, dran, drang, rann]}
21283	Kondel	Gondel	[Kordel, Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]	{1.0=[Kordel], 2.0=[Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]}
21284	wa	war	[a, ja, wo, was, war, wag, da]	{1.0=[a, ja, wo, was, war, wag, da]}
21285	Kondel	Gondel	[Kordel, Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]	{1.0=[Kordel], 2.0=[Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]}
21286	lausgelassen	losgelassen	[rausgelassen, ausgelassen, Ausgelassen]	{1.0=[rausgelassen, ausgelassen], 1.5=[Ausgelassen]}
21287	geruscht	gerutscht	[geduscht, gerauscht, gerutscht, gehuscht]	{1.0=[geduscht, gerauscht, gerutscht, gehuscht]}
21288	Kondel	Gondel	[Kordel, Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]	{1.0=[Kordel], 2.0=[Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]}
21289	Kondel	Gondel	[Kordel, Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]	{1.0=[Kordel], 2.0=[Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]}
21290	Pasiert	passiert	[Passiert, pariert, passiert]	{1.0=[Passiert], 1.5=[pariert, passiert]}
21291	Kondel	Gondel	[Kordel, Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]	{1.0=[Kordel], 2.0=[Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]}
21292	wa	war	[a, ja, wo, was, war, wag, da]	{1.0=[a, ja, wo, was, war, wag, da]}
21293	Nachberin	Nachbarin	[Nachbarin, Nachbarn, Nachbar, Zauberin, Nachteil, Nachher]	{1.0=[Nachbarin], 2.0=[Nachbarn], 3.0=[Nachbar, Zauberin, Nachteil, Nachher]}
21294	Kondel	Gondel	[Kordel, Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]	{1.0=[Kordel], 2.0=[Kinde, Kordeln, Bündel, Koppel, Handel, Mondes, Kunde, Kindes, Monden, Kunden, Kinder, Konten, Model, Mandel, Windel]}
21295	tedy	Teddy	[Teddy, red, rede, teil, jede]	{1.5=[Teddy], 2.0=[red, rede, teil, jede]}
21296	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
21297	tedy	Teddy	[Teddy, red, rede, teil, jede]	{1.5=[Teddy], 2.0=[red, rede, teil, jede]}
21298	chief	schief	[schief, Chef, tief, Schieb, schieß, hieß, hilf, Schiefe, lief, Schieß, Schilf, rief, hieb, schieb, schied, schiefe, Schiff, Schlief, Schier, schien, Schien, schnief, hier, schlief, schier]	{1.0=[schief], 1.5=[Chef], 2.0=[tief, Schieb, schieß, hieß, hilf, Schiefe, lief, Schieß, Schilf, rief, hieb, schieb, schied, schiefe, Schiff, Schlief, Schier, schien, Schien, schnief, hier, schlief, schier]}
21299	viel	fiel	[viel, Viel, fiel, vier, viele]	{0.0=[viel], 0.5=[Viel], 1.0=[fiel, vier, viele]}
21300	geschokt	geschockt	[geschont, geschockt, Geschockt]	{1.0=[geschont, geschockt], 1.5=[Geschockt]}
21301	befestikt	befestigt	[befestigt, befestigte, befestigst, befestige]	{1.0=[befestigt], 2.0=[befestigte, befestigst, befestige]}
21302	Seit	Seil	[Seit, seit, Sein, Weit, Seil, Sei, Seht, Seite, Seid, Zeit]	{0.0=[Seit], 0.5=[seit], 1.0=[Sein, Weit, Seil, Sei, Seht, Seite, Seid, Zeit]}
21303	Läst	lässt	[Last, Lässt, Lädst, List, Löst, Lust, Lest]	{1.0=[Last, Lässt, Lädst, List, Löst, Lust, Lest]}
21304	knalt	knallt	[knallt, kalt, Knall, Knast, Kalt]	{1.0=[knallt, kalt], 1.5=[Knall, Knast, Kalt]}
21305	zervelt	zerfällt	[zerlegt, zergeht, erlegt, geriet, nestelt, nervend, verweht, gerollt, torkelt, perfekt, erhellt, zweifelt, ergebt, erneut, zeltet, gurgelt, beriet, vergeßt, zerfällt, bereit, nervt, nervst, züngelt, bereut, geradelt, verhext, erholt, zerfetzt, erhielt, nerve, verlegt, zerrst, geregt, zerreiß, verheilt, serviert, geregelt, rempelt, segelt, zwirbelt, ergeht, wirbelt, murmelt, hechelt, behielt, zerrt, regelt, verhält, erregt, zerfiel, wedelt, verhielt, nerven, bettelt, purzelt, zerren, vergeht, zermalmt, gezielt, erhält, verteilt, zerreißt, zetert, erlebt, verbeult, erhebt, fesselt, zurzeit, lernet, zielt, zerlegte, werdet, zappelt, zuhielt, verfehlt, erteilt, zerre]	{2.0=[zerlegt, zergeht], 3.0=[erlegt, geriet, nestelt, nervend, verweht, gerollt, torkelt, perfekt, erhellt, zweifelt, ergebt, erneut, zeltet, gurgelt, beriet, vergeßt, zerfällt, bereit, nervt, nervst, züngelt, bereut, geradelt, verhext, erholt, zerfetzt, erhielt, nerve, verlegt, zerrst, geregt, zerreiß, verheilt, serviert, geregelt, rempelt, segelt, zwirbelt, ergeht, wirbelt, murmelt, hechelt, behielt, zerrt, regelt, verhält, erregt, zerfiel, wedelt, verhielt, nerven, bettelt, purzelt, zerren, vergeht, zermalmt, gezielt, erhält, verteilt, zerreißt, zetert, erlebt, verbeult, erhebt, fesselt, zurzeit, lernet, zielt, zerlegte, werdet, zappelt, zuhielt, verfehlt, erteilt, zerre]}
21306	passiren	passieren	[passieren, passen, massigen, massiven, passten, passiert, passierten, massieren]	{1.0=[passieren], 2.0=[passen, massigen, massiven, passten, passiert, passierten, massieren]}
21307	erlich	ehrlich	[ehrlich, Ehrlich, verglich, Neulich, erlischt, endlich, erwisch, herzlich, Verglich, merklich, neulich, erlosch, zierlich, herrlich, reich, erpicht, Bereich, verlieh, üblich, Herrlich, Zierlich, glich, erlitt, Herzlich, etliche, ehrliche]	{1.0=[ehrlich], 1.5=[Ehrlich], 2.0=[verglich, Neulich, erlischt, endlich, erwisch, herzlich, Verglich, merklich, neulich, erlosch, zierlich, herrlich, reich, erpicht, Bereich, verlieh, üblich, Herrlich, Zierlich, glich, erlitt, Herzlich, etliche, ehrliche]}
21308	drausen	draußen	[krausen, brausen, draußen]	{1.0=[krausen, brausen, draußen]}
21309	Teddybear	Teddybär	[Teddybär, Teddy, Teddybären, Teddys]	{2.0=[Teddybär], 4.0=[Teddy, Teddybären, Teddys]}
21310	Teddybear	Teddybär	[Teddybär, Teddy, Teddybären, Teddys]	{2.0=[Teddybär], 4.0=[Teddy, Teddybären, Teddys]}
21311	viel	fiel	[viel, Viel, fiel, vier, viele]	{0.0=[viel], 0.5=[Viel], 1.0=[fiel, vier, viele]}
21312	pakst	packst	[hakst, passt, packst]	{1.0=[hakst, passt, packst]}
21313	Teddybear	Teddybär	[Teddybär, Teddy, Teddybären, Teddys]	{2.0=[Teddybär], 4.0=[Teddy, Teddybären, Teddys]}
21314	aich	auch	[wich, mich, nich, auch, dich, sich, ich]	{1.0=[wich, mich, nich, auch, dich, sich, ich]}
21315	Gonde	Gondel	[Golde, Morde, Grunde, Gange, ende, Winde, Horde, Bände, Ganze, Monds, Hände, Rinde, Gongs, Hunde, Blonde, Wände, Mondes, Ginge, Munde, Genie, Monden, Runde, Goldes, Mond, Gründe, Gnade, Gong, Gold, Kinde, Zünde, Lande, Finde, Mode, Grade, Longe, Ende, Sonne, Funde, Rande, Wunde, Gänse, Kunde, Tone, Tonne, Binde, Tode, Gänge, Bande]	{1.0=[Golde], 2.0=[Morde, Grunde, Gange, ende, Winde, Horde, Bände, Ganze, Monds, Hände, Rinde, Gongs, Hunde, Blonde, Wände, Mondes, Ginge, Munde, Genie, Monden, Runde, Goldes, Mond, Gründe, Gnade, Gong, Gold, Kinde, Zünde, Lande, Finde, Mode, Grade, Longe, Ende, Sonne, Funde, Rande, Wunde, Gänse, Kunde, Tone, Tonne, Binde, Tode, Gänge, Bande]}
21316	bauhen	bauen	[bauen, bauten, Bauten]	{1.0=[bauen, bauten], 1.5=[Bauten]}
21317	bear	Bär	[Bar, bei, beil, beim, der, mehr, dar, her, bat, berg, zwar, bau, barg, beet, per, bekam, bevor, aber, besah, brau, brav, er, gebar, Aber, begab, beiß, bohr, besaß, beug, bewarb, bewarf, blaß, blau, blas, leer, paar, kehr, Über, gar, bete, klar, wer, über, bebe, sehr, war, wehr, lehr, bebt, spar]	{1.5=[Bar], 2.0=[bei, beil, beim, der, mehr, dar, her, bat, berg, zwar, bau, barg, beet, per, bekam, bevor, aber, besah, brau, brav, er, gebar, Aber, begab, beiß, bohr, besaß, beug, bewarb, bewarf, blaß, blau, blas, leer, paar, kehr, Über, gar, bete, klar, wer, über, bebe, sehr, war, wehr, lehr, bebt, spar]}
21318	einnal	einmal	[einmal, Einmal, einsam, einnahm, einsah]	{1.0=[einmal], 1.5=[Einmal], 2.0=[einsam, einnahm, einsah]}
21319	hilt	hielt	[halt, eilt, hilft, hält, hielt, gilt, hilf, heilt, holt]	{1.0=[halt, eilt, hilft, hält, hielt, gilt, hilf, heilt, holt]}
21320	Teddybear	Teddybär	[Teddybär, Teddy, Teddybären, Teddys]	{2.0=[Teddybär], 4.0=[Teddy, Teddybären, Teddys]}
21321	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
21322	gester	gestern	[bester, gestern, geste, fester]	{1.0=[bester, gestern, geste, fester]}
21323	fergesen	vergessen	[vergehen, zergehen, ergeben, vergeben, hergeben, vergessen, ergehen]	{2.0=[vergehen, zergehen, ergeben, vergeben, hergeben, vergessen, ergehen]}
21324	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
21325	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
21326	denn	den	[denn, Denn, denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]	{0.0=[denn], 0.5=[Denn], 1.0=[denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]}
21327	losgelasen	losgelassen	[losgelassen, losgelacht, vorgelesen, ausgelassen, losgeflogen, losgegangen, losgezogen, loslassen, losgefahren, losgehen, losgerissen, loszulassen]	{1.0=[losgelassen], 3.0=[losgelacht, vorgelesen, ausgelassen, losgeflogen, losgegangen, losgezogen, loslassen, losgefahren, losgehen, losgerissen, loszulassen]}
21328	angekomen	angekommen	[angekommen, angehoben, angelogen, angezogen, angeboten, abgekommen, angenommen]	{1.0=[angekommen], 2.0=[angehoben, angelogen, angezogen, angeboten, abgekommen, angenommen]}
21329	daa	da	[daß, dar, das, da]	{1.0=[daß, dar, das, da]}
21330	basierte	passierte	[besiegte, karierte, blamierte, passierte, massierte, bastelte, parierte, bugsierte, besserte, kapierte]	{2.0=[besiegte, karierte, blamierte, passierte, massierte, bastelte, parierte, bugsierte, besserte, kapierte]}
21331	fehrlieh	gefährlich	[verlieh, ehrlich, Ehrlich]	{2.0=[verlieh, ehrlich], 2.5=[Ehrlich]}
21332	gefalen	gefallen	[gefallen, Gefallen, geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]	{1.0=[gefallen], 1.5=[Gefallen], 2.0=[geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]}
21333	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
